Career,Citizenship,Nationality,Year_of_Study,Gender,Department,Housing_Type,Events_Volunteered,Events_Participated,Activities_Interested,Activities_Passionate,Stress_Level,Student_Life_Satisfaction,Effort_For_Interaction,Response_ID,Societies_Participation,Clubs_Participation,Academic_Stress,Financial_Stress,Family_Stress,Friend_Stress
UGRD,Country Citizen,Singapore,4,F,School of Law,Out of Campus,1,1,3,3,4,1,2,789,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Out of Campus,1,3,3,2,4,2,1,790,Yes,Yes,Yes,No,Yes,Yes
UGRD,Country Citizen,Singapore,4,F,School of Arts & Social Science,Out of Campus,0,2,2,3,2,2,2,791,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Out of Campus,0,1,4,2,5,2,2,792,No,Yes,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,4,M,School of Science,Out of Campus,1,1,3,3,4,2,2,793,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Residential Colleges,0,1,4,2,2,2,2,794,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Science,Out of Campus,0,1,3,4,2,1,2,795,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,2,1,4,5,6,2,2,796,No,No,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,3,M,School of Science,Out of Campus,0,0,7,7,2,2,2,797,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,3,M,School of Arts & Social Science,Out of Campus,0,1,2,3,2,2,2,798,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,M,School of Science,Residential Colleges,3,2,4,3,4,2,2,799,Yes,Yes,Yes,No,Yes,Yes
UGRD,Country Citizen,Singapore,1,F,School of Business School,Residences,3,1,2,3,3,2,2,800,No,No,Yes,No,No,Yes
UGRD,Foreigner,Indonesia,1,F,School of Conservatory of Music,Halls,0,1,1,1,1,2,2,801,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Science,Residential Colleges,0,2,3,2,5,2,2,802,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,M,School of Science,Out of Campus,3,1,3,1,1,2,2,803,Yes,No,Yes,No,No,No
NGRD,Foreigner,Canada,1,F,School of Exchange Students,Residences,0,1,4,5,1,3,2,804,No,No,No,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,2,1,2,2,2,1,2,805,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Business School,Out of Campus,2,2,3,2,4,1,2,806,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,M,School of Computing,Out of Campus,3,2,3,3,3,2,3,807,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Arts & Social Science,Out of Campus,5,2,3,8,7,2,1,808,No,No,Yes,No,Yes,Yes
UGRD,Country Citizen,Singapore,4,M,School of Engineering,Out of Campus,0,1,2,2,2,2,2,809,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Computing,Residential Colleges,1,4,6,10,4,2,2,810,Yes,Yes,Yes,Yes,No,No
UGRD,Foreigner,China,2,F,School of Engineering,Halls,1,3,2,6,3,2,2,811,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,1,1,1,5,2,2,2,812,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,3,M,School of Arts & Social Science,Out of Campus,0,2,6,2,9,1,1,813,Yes,No,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Residential Colleges,0,1,2,3,5,2,2,814,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,M,School of Business School,Out of Campus,3,3,2,2,5,2,2,815,No,Yes,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,2,F,School of Science,Out of Campus,3,2,5,6,4,2,2,816,No,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Out of Campus,4,2,4,5,3,2,2,817,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Out of Campus,0,1,3,3,2,2,2,818,Yes,No,Yes,No,No,No
NGRD,Foreigner,Taiwan,1,M,School of Exchange Students,Residences,0,1,3,1,2,2,2,819,No,No,Yes,No,No,No
UGRD,Permanent Resident,Myanmar,3,F,School of Arts & Social Science,Out of Campus,2,2,3,3,4,1,2,820,No,Yes,Yes,No,Yes,No
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Out of Campus,1,2,3,1,7,2,3,821,No,Yes,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,1,2,4,5,6,2,1,822,No,Yes,Yes,Yes,No,Yes
UGRD,Permanent Resident,China,2,F,School of Science,Out of Campus,0,0,3,4,5,1,2,823,No,No,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,2,M,School of Multi Disciplinary Programme,Out of Campus,2,2,4,5,4,2,2,824,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,4,F,School of Arts & Social Science,Out of Campus,3,2,3,5,4,2,2,825,No,No,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,2,M,School of Business School,Out of Campus,1,4,3,2,1,1,0,826,Yes,Yes,Yes,No,No,No
GRAD,Foreigner,China,1,F,School of Systems Science,Out of Campus,0,1,3,3,2,3,3,827,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Science,Residences,0,1,3,3,6,2,1,828,No,Yes,Yes,Yes,Yes,Yes
GRAD,Country Citizen,Singapore,1,F,School of Engineering,Out of Campus,2,2,3,6,3,2,2,829,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Business School,Halls,0,3,2,2,4,2,1,830,No,Yes,Yes,No,No,Yes
GRAD,Foreigner,Taiwan,3,F,School of International Science,Out of Campus,0,1,3,1,6,1,2,831,Yes,No,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,2,F,School of Science,Out of Campus,0,1,2,2,3,2,2,832,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,5,F,School of Medicine1,Out of Campus,2,0,3,2,1,2,2,833,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Science,Out of Campus,0,3,3,4,2,2,2,834,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Engineering,Halls,0,4,1,2,4,2,2,835,Yes,Yes,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,4,M,School of Multi Disciplinary Programme,Residential Colleges,0,1,2,1,3,2,2,836,No,No,Yes,No,No,Yes
GRAD,Foreigner,China,1,M,School of Engineering,Out of Campus,0,2,2,2,1,2,2,837,Yes,No,No,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Arts & Social Science,Out of Campus,1,2,2,4,3,3,2,838,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Business School,Residential Colleges,4,3,2,5,3,2,3,839,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Business School,Out of Campus,2,1,1,2,1,2,3,840,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Arts & Social Science,Out of Campus,2,2,2,3,4,2,1,841,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Halls,7,3,5,4,3,1,2,842,Yes,Yes,Yes,Yes,No,No
GRAD,Country Citizen,Singapore,2,M,School of Science,Out of Campus,1,0,3,2,2,2,2,843,No,No,Yes,No,No,No
UGRD,Foreigner,Indonesia,2,M,School of Engineering,Halls,4,1,3,2,2,2,2,844,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Arts & Social Science,Out of Campus,0,2,3,2,1,2,2,845,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Engineering,Out of Campus,2,2,3,3,2,2,2,846,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,0,1,3,2,2,2,1,847,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,4,F,School of Design & Environment,Out of Campus,0,1,2,4,3,2,2,848,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Science,Out of Campus,1,1,4,9,2,3,2,849,No,Yes,Yes,No,No,No
UGRD,Permanent Resident,India,1,M,School of Computing,Residential Colleges,1,2,3,2,1,2,2,850,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Science,Out of Campus,1,2,4,5,8,2,1,851,Yes,No,Yes,Yes,No,Yes
GRAD,Foreigner,Hong Kong,5,F,School of Science,Residences,0,1,4,4,3,2,2,852,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Science,Out of Campus,3,1,4,2,5,2,3,853,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,M,School of Science,Out of Campus,4,1,2,1,4,2,2,854,Yes,No,Yes,Yes,Yes,No
UGRD,Foreigner,Sri Lanka,1,M,School of Engineering,Halls,1,2,4,2,3,2,2,855,Yes,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,4,1,2,6,2,2,2,856,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Arts & Social Science,Out of Campus,2,0,1,1,5,0,0,857,No,No,Yes,Yes,Yes,No
UGRD,Permanent Resident,China,2,F,School of Arts & Social Science,Halls,0,1,4,2,4,1,2,858,No,No,Yes,No,No,No
NGRD,Foreigner,Canada,1,M,School of Exchange Students,Residences,0,2,5,0,6,2,2,859,Yes,No,Yes,Yes,Yes,No
UGRD,Foreigner,China,2,F,School of Computing,Residences,3,4,7,3,3,2,2,860,Yes,Yes,Yes,No,No,No
UGRD,Foreigner,China,1,M,School of Engineering,Residential Colleges,3,1,4,3,3,2,2,861,No,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Out of Campus,0,1,2,2,6,2,1,862,No,No,Yes,Yes,No,Yes
UGRD,Foreigner,China,4,F,School of Engineering,Halls,1,3,3,7,3,2,2,863,Yes,Yes,Yes,No,No,No
UGRD,Foreigner,China,3,F,School of Design & Environment,Halls,2,3,2,2,2,2,2,864,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Arts & Social Science,Out of Campus,0,0,1,2,3,2,2,865,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,M,School of Computing,Out of Campus,0,1,2,5,2,2,2,866,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,M,School of Engineering,Out of Campus,0,3,3,2,9,2,2,867,Yes,Yes,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,2,2,3,8,3,2,2,868,Yes,No,Yes,No,No,No
GRAD,Foreigner,"Korea, Republic of",2,M,School of Medicine1,Residences,2,1,2,2,1,2,2,869,No,Yes,No,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Business School,Out of Campus,4,2,3,7,3,2,2,870,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Science,Out of Campus,1,0,2,2,3,2,2,871,No,No,Yes,No,No,No
GRAD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,6,1,1,5,1,2,2,872,Yes,No,Yes,No,No,No
NGRD,Foreigner,Germany,1,F,School of Exchange Students,Residences,0,2,4,10,3,2,3,873,No,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,M,School of Computing,Halls,1,2,6,3,3,2,2,874,No,Yes,Yes,Yes,No,Yes
UGRD,Foreigner,China,4,F,School of Engineering,Halls,1,1,1,2,2,2,2,875,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,3,3,4,5,3,2,2,876,Yes,Yes,Yes,Yes,No,No
NGRD,Foreigner,United States,1,F,School of Exchange Students,Halls,1,1,1,1,0,2,2,877,No,Yes,No,No,No,No
UGRD,Foreigner,Malaysia,1,F,School of Arts & Social Science,Halls,3,2,3,4,3,2,2,878,Yes,No,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,1,M,School of Arts & Social Science,Residential Colleges,0,3,4,2,9,2,2,879,Yes,No,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,1,M,School of Arts & Social Science,Halls,0,2,3,3,5,1,3,880,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,2,2,1,6,2,2,2,881,No,No,Yes,No,No,No
GRAD,Foreigner,India,2,M,School of Systems Science,Out of Campus,2,2,4,2,2,2,2,882,No,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,4,F,School of Arts & Social Science,Out of Campus,2,1,2,3,3,2,2,883,Yes,No,Yes,No,No,No
GRAD,Foreigner,Indonesia,1,F,School of Design & Environment,Out of Campus,0,3,2,2,4,1,2,884,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,M,School of Business School,Halls,0,2,2,1,3,2,3,885,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,0,2,2,2,4,1,1,886,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Business School,Out of Campus,2,2,4,4,3,2,2,887,No,Yes,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,2,M,School of Science,Residential Colleges,0,2,5,1,2,2,2,888,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,0,1,3,2,3,2,2,889,No,Yes,Yes,No,No,Yes
GRAD,Foreigner,India,2,M,School of Computing,Out of Campus,0,1,1,2,4,2,2,890,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Residential Colleges,2,1,2,5,4,2,2,891,No,No,Yes,No,No,No
NGRD,Foreigner,Canada,1,F,School of Exchange Students,Halls,0,1,3,8,4,3,3,892,No,No,No,Yes,Yes,No
GRAD,Country Citizen,Singapore,2,F,School of Engineering,Out of Campus,4,2,3,2,2,3,2,893,Yes,No,Yes,No,No,No
GRAD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,1,1,1,2,1,2,2,894,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Foreign College,Out of Campus,0,2,3,2,6,2,2,895,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Design & Environment,Out of Campus,0,1,2,1,1,2,2,896,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Business School,Halls,0,2,3,1,2,2,1,897,No,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,M,School of Science,Out of Campus,2,1,2,1,2,2,2,898,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Design & Environment,Out of Campus,0,2,3,2,5,1,1,899,Yes,Yes,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,1,M,School of Arts & Social Science,Residential Colleges,2,2,3,5,3,2,2,900,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Science,Residential Colleges,3,2,3,4,3,2,2,901,Yes,No,Yes,No,No,No
UGRD,Foreigner,Malaysia,4,M,School of Engineering,Halls,2,2,4,7,4,3,2,902,Yes,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Halls,2,3,4,6,8,2,2,903,Yes,No,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,2,F,School of Engineering,Out of Campus,1,2,4,8,3,2,2,904,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Engineering,Out of Campus,0,1,2,2,3,2,2,905,No,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,0,1,2,7,4,2,2,906,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,2,1,5,3,2,2,1,907,No,No,Yes,No,Yes,No
UGRD,Country Citizen,Singapore,2,F,School of Science,Halls,3,2,2,4,5,2,3,908,No,No,Yes,Yes,No,No
UGRD,Foreigner,Malaysia,4,F,School of Science,Halls,1,1,1,1,1,2,2,909,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Engineering,Residential Colleges,0,1,2,2,3,2,2,910,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,F,School of Business School,Out of Campus,1,2,1,1,2,1,2,911,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Design & Environment,Out of Campus,0,2,5,2,4,2,2,912,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,2,1,3,2,4,1,2,913,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,2,M,School of Science,Out of Campus,2,1,2,2,1,2,2,914,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,4,3,2,10,4,2,2,915,Yes,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Business School,Out of Campus,3,3,3,3,3,2,2,916,Yes,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,4,M,School of Arts & Social Science,Halls,4,1,3,4,1,2,2,917,Yes,No,No,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Business School,Out of Campus,1,1,1,2,7,1,2,918,Yes,No,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,1,M,School of Engineering,Out of Campus,0,2,2,1,1,2,2,919,Yes,Yes,No,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Out of Campus,3,2,1,6,3,2,2,920,Yes,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,0,2,4,3,4,1,1,921,Yes,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Halls,4,2,2,4,4,2,2,922,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,M,School of Arts & Social Science,Out of Campus,2,1,3,2,3,2,2,923,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,2,M,School of Science,Out of Campus,5,2,3,4,9,1,2,924,Yes,Yes,Yes,Yes,Yes,Yes
UGRD,Permanent Resident,Malaysia,5,F,School of Arts & Social Science,Out of Campus,1,2,4,6,2,1,2,925,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,1,2,2,1,2,2,1,926,No,Yes,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,4,F,School of Law,Out of Campus,1,1,4,4,4,0,1,927,Yes,No,Yes,No,Yes,No
GRAD,Country Citizen,Singapore,3,F,School of International Science,Out of Campus,0,1,3,1,2,2,2,928,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Business School,Out of Campus,1,0,1,2,3,2,2,929,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,F,School of Medicine1,Out of Campus,0,2,3,2,5,2,1,930,Yes,No,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,4,M,School of Engineering,Out of Campus,0,0,1,1,1,2,1,931,No,No,No,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Engineering,Out of Campus,2,1,1,4,2,2,2,932,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Halls,0,0,3,2,4,2,2,933,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,0,0,2,3,2,1,2,934,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Arts & Social Science,Out of Campus,0,3,3,6,5,1,0,935,Yes,No,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,4,M,School of Engineering,Out of Campus,0,2,2,2,2,2,2,936,No,No,No,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Multi Disciplinary Programme,Out of Campus,0,2,2,4,2,3,2,937,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,3,M,School of Science,Halls,3,3,2,2,3,2,2,938,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,M,School of Science,Residential Colleges,1,1,3,2,2,2,2,939,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Science,Out of Campus,0,1,2,2,7,2,2,940,Yes,No,Yes,Yes,Yes,Yes
GRAD,Permanent Resident,Malaysia,3,M,School of Systems Science,Out of Campus,0,2,3,2,4,2,2,941,No,Yes,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,4,F,School of Arts & Social Science,Out of Campus,3,4,4,3,9,2,1,942,Yes,Yes,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,1,F,School of Business School,Halls,1,1,4,7,3,2,3,943,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,0,2,3,3,5,2,2,944,No,Yes,No,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,1,F,School of Law,Residential Colleges,0,1,3,2,2,2,1,945,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Out of Campus,3,3,4,2,1,2,2,946,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Design & Environment,Out of Campus,3,2,1,7,1,3,2,947,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,4,F,School of Business School,Out of Campus,1,1,1,2,2,2,2,948,No,No,Yes,No,No,No
UGRD,Permanent Resident,Malaysia,2,F,School of Computing,Halls,2,2,3,2,1,2,2,949,No,Yes,No,No,Yes,No
UGRD,Country Citizen,Singapore,3,F,School of Design & Environment,Out of Campus,2,2,1,2,1,2,2,950,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Law,Residential Colleges,3,1,3,4,3,2,2,951,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,0,1,4,3,7,0,2,952,No,No,Yes,No,Yes,Yes
UGRD,Country Citizen,Singapore,3,M,School of Medicine1,Out of Campus,2,1,2,6,6,2,3,953,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,4,3,2,4,4,2,2,954,Yes,Yes,Yes,No,Yes,Yes
UGRD,Country Citizen,Singapore,2,F,School of Business School,Out of Campus,0,1,3,2,2,1,1,955,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,M,School of Business School,Out of Campus,3,1,2,2,3,2,2,956,No,Yes,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,2,F,School of Science,Out of Campus,0,0,2,2,3,2,2,957,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,1,F,School of Medicine1,Out of Campus,0,0,1,1,2,0,1,958,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Business School,Halls,3,2,2,2,2,2,1,959,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,M,School of Business School,Out of Campus,2,1,3,2,2,2,2,960,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Arts & Social Science,Out of Campus,0,0,1,1,3,2,2,961,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,3,F,School of Engineering,Out of Campus,0,2,2,7,8,2,2,962,No,Yes,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,3,F,School of Design & Environment,Out of Campus,0,2,2,3,1,2,2,963,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,1,2,4,2,3,2,2,964,Yes,No,Yes,Yes,Yes,No
UGRD,Country Citizen,Singapore,1,F,School of Arts & Social Science,Out of Campus,0,1,4,6,5,2,2,965,No,No,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,3,1,1,2,3,2,1,966,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,2,M,School of Engineering,Residences,1,2,2,4,5,1,2,967,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Engineering,Halls,2,1,1,2,2,2,2,968,No,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,3,M,School of Science,Out of Campus,1,4,2,1,1,2,2,969,Yes,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Science,Out of Campus,0,1,3,5,8,2,2,970,No,Yes,Yes,Yes,No,Yes
UGRD,Country Citizen,Singapore,2,M,School of Science,Out of Campus,0,1,5,2,4,1,2,971,Yes,No,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,3,M,School of Business School,Out of Campus,0,1,3,1,1,2,2,972,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Science,Halls,0,1,3,4,4,2,3,973,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,1,F,School of Medicine1,Halls,0,2,2,4,6,1,1,974,No,No,Yes,Yes,Yes,Yes
UGRD,Country Citizen,Singapore,4,M,School of Business School,Halls,0,1,4,2,2,2,2,975,No,No,Yes,No,No,No
UGRD,Foreigner,Malaysia,1,F,School of Engineering,Halls,0,4,5,2,7,2,3,976,Yes,Yes,Yes,Yes,No,Yes
UGRD,Foreigner,Nepal,1,M,School of Foreign College,Out of Campus,1,1,1,2,1,1,2,977,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Engineering,Out of Campus,1,1,2,2,2,2,2,978,No,Yes,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Business School,Residential Colleges,2,1,3,7,3,2,2,979,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,M,School of Science,Out of Campus,2,2,3,3,6,2,2,980,Yes,Yes,Yes,No,Yes,Yes
UGRD,Country Citizen,Singapore,1,F,School of Business School,Residences,1,1,1,2,5,2,2,981,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,M,School of Computing,Halls,0,1,3,2,3,2,2,982,No,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,F,School of Science,Out of Campus,0,1,2,2,3,2,2,983,Yes,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,1,F,School of Business School,Out of Campus,3,1,2,4,3,2,2,984,No,No,Yes,No,No,No
UGRD,Permanent Resident,China,1,M,School of Engineering,Residential Colleges,2,1,2,1,1,2,2,985,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,2,F,School of Design & Environment,Out of Campus,1,3,3,4,2,2,2,986,Yes,Yes,Yes,Yes,No,No
UGRD,Country Citizen,Singapore,4,F,School of Design & Environment,Out of Campus,2,1,3,4,2,2,2,987,Yes,No,Yes,No,No,No
UGRD,Country Citizen,Singapore,3,M,School of Engineering,Halls,0,0,2,3,5,1,2,988,No,No,Yes,No,No,Yes
UGRD,Country Citizen,Singapore,2,F,School of Arts & Social Science,Out of Campus,0,1,1,6,2,3,2,989,No,No,No,Yes,No,No
UGRD,Permanent Resident,China,2,F,School of Science,Out of Campus,2,1,1,4,2,2,2,990,No,Yes,Yes,No,No,No
UGRD,Foreigner,China,1,F,School of Computing,Residential Colleges,1,2,4,3,2,2,3,991,Yes,No,Yes,No,No,No
